Name,Table,BeginTime,EndTime,Duration,Bounce,Journey
butLeft,table,04/24/2015 16:55:27,04/24/2015 16:55:28,0,False,START
cat,table,04/24/2015 16:55:28,04/24/2015 16:55:29,0,False,
dog,table,04/24/2015 16:55:29,04/24/2015 16:55:29,0,False,
horse,table,04/24/2015 16:55:29,04/24/2015 16:55:34,5,True,END
butLeft,table,04/24/2015 16:55:53,04/24/2015 16:55:55,1,False,START
cat,table,04/24/2015 16:55:55,04/24/2015 16:55:55,0,False,
dog,table,04/24/2015 16:55:55,04/24/2015 16:55:56,0,False,
horse,table,04/24/2015 16:55:56,04/24/2015 16:55:58,1,False,END
butLeft,table,04/24/2015 16:55:59,04/24/2015 16:56:00,0,False,START
cat,table,04/24/2015 16:56:00,04/24/2015 16:56:01,0,False,
dog,table,04/24/2015 16:56:01,04/24/2015 16:56:02,0,False,
horse,table,04/24/2015 16:56:02,04/24/2015 16:56:09,6,True,END
butLeft,table,05/05/2015 16:07:49,05/05/2015 16:07:52,2,False,START
dog,table,05/05/2015 16:07:52,05/05/2015 16:07:52,0,False,
cat,table,05/05/2015 16:07:52,05/05/2015 16:07:53,0,False,
cat,table,05/05/2015 16:07:53,05/05/2015 16:07:53,0,False,
cat,table,05/05/2015 16:07:53,05/05/2015 16:07:53,0,False,
cat,table,05/05/2015 16:07:53,05/05/2015 16:07:53,0,False,
cat,table,05/05/2015 16:07:53,05/05/2015 16:07:53,0,False,
cat,table,05/05/2015 16:07:53,05/05/2015 16:07:54,0,False,
cat,table,05/05/2015 16:07:54,05/05/2015 16:07:54,0,False,
cat,table,05/05/2015 16:07:54,05/05/2015 16:07:54,0,False,
cat,table,05/05/2015 16:07:54,05/05/2015 16:07:55,0,False,
horse,table,05/05/2015 16:07:55,05/05/2015 16:07:55,0,False,
dog,table,05/05/2015 16:07:55,05/05/2015 16:07:55,0,False,
dog,table,05/05/2015 16:07:55,05/05/2015 16:07:56,0,False,
dog,table,05/05/2015 16:07:56,05/05/2015 16:07:56,0,False,
dog,table,05/05/2015 16:07:56,05/05/2015 16:07:56,0,False,
dog,table,05/05/2015 16:07:56,05/05/2015 16:07:56,0,False,
dog,table,05/05/2015 16:07:56,05/05/2015 16:07:57,0,False,
horse,table,05/05/2015 16:07:57,05/05/2015 16:07:57,0,False,
cat,table,05/05/2015 16:07:57,05/05/2015 16:07:58,0,False,
dog,table,05/05/2015 16:07:58,05/05/2015 16:07:58,0,False,
dog,table,05/05/2015 16:07:58,05/05/2015 16:07:59,0,False,
dog,table,05/05/2015 16:07:59,05/05/2015 16:07:59,0,False,
dog,table,05/05/2015 16:07:59,05/05/2015 16:07:59,0,False,
dog,table,05/05/2015 16:07:59,05/05/2015 16:08:00,0,False,END
butLeft,table,05/06/2015 10:40:18,05/06/2015 10:40:20,2,False,START
horse,table,05/06/2015 10:40:20,05/06/2015 10:40:21,1,False,
cat,table,05/06/2015 10:40:21,05/06/2015 10:40:22,0,False,
dog,table,05/06/2015 10:40:22,05/06/2015 10:40:22,0,False,
cat,table,05/06/2015 10:40:22,05/06/2015 10:40:22,0,False,
cat,table,05/06/2015 10:40:22,05/06/2015 10:40:23,0,False,
cat,table,05/06/2015 10:40:23,05/06/2015 10:40:23,0,False,
cat,table,05/06/2015 10:40:23,05/06/2015 10:40:23,0,False,
cat,table,05/06/2015 10:40:23,05/06/2015 10:40:23,0,False,
cat,table,05/06/2015 10:40:23,05/06/2015 10:40:23,0,False,
cat,table,05/06/2015 10:40:23,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:24,0,False,
cat,table,05/06/2015 10:40:24,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:25,0,False,
cat,table,05/06/2015 10:40:25,05/06/2015 10:40:26,0,False,
cat,table,05/06/2015 10:40:26,05/06/2015 10:40:27,1,False,END
butLeft,table,05/06/2015 10:40:39,05/06/2015 10:40:42,2,False,START
cat,table,05/06/2015 10:40:42,05/06/2015 10:40:42,0,False,
dog,table,05/06/2015 10:40:42,05/06/2015 10:40:43,0,False,
horse,table,05/06/2015 10:40:43,05/06/2015 10:40:44,1,False,
horse,table,05/06/2015 10:40:44,05/06/2015 10:40:45,0,False,
horse,table,05/06/2015 10:40:45,05/06/2015 10:40:45,0,False,
horse,table,05/06/2015 10:40:45,05/06/2015 10:40:45,0,False,
horse,table,05/06/2015 10:40:45,05/06/2015 10:40:46,0,False,
cat,table,05/06/2015 10:40:46,05/06/2015 10:40:46,0,False,
cat,table,05/06/2015 10:40:46,05/06/2015 10:40:46,0,False,
cat,table,05/06/2015 10:40:46,05/06/2015 10:40:46,0,False,
cat,table,05/06/2015 10:40:46,05/06/2015 10:40:47,0,False,
cat,table,05/06/2015 10:40:47,05/06/2015 10:40:47,0,False,
cat,table,05/06/2015 10:40:47,05/06/2015 10:40:47,0,False,
cat,table,05/06/2015 10:40:47,05/06/2015 10:40:47,0,False,
cat,table,05/06/2015 10:40:47,05/06/2015 10:40:48,0,False,
cat,table,05/06/2015 10:40:48,05/06/2015 10:40:48,0,False,
cat,table,05/06/2015 10:40:48,05/06/2015 10:40:48,0,False,
cat,table,05/06/2015 10:40:48,05/06/2015 10:40:49,0,False,END
butLeft,table,05/06/2015 11:07:00,05/06/2015 11:07:03,3,False,START
cat,table,05/06/2015 11:07:03,05/06/2015 11:07:03,0,False,
cat,table,05/06/2015 11:07:03,05/06/2015 11:07:03,0,False,
cat,table,05/06/2015 11:07:03,05/06/2015 11:07:04,0,False,
cat,table,05/06/2015 11:07:04,05/06/2015 11:07:04,0,False,
cat,table,05/06/2015 11:07:04,05/06/2015 11:07:04,0,False,
cat,table,05/06/2015 11:07:04,05/06/2015 11:07:04,0,False,
cat,table,05/06/2015 11:07:04,05/06/2015 11:07:05,0,False,
dog,table,05/06/2015 11:07:05,05/06/2015 11:07:05,0,False,
horse,table,05/06/2015 11:07:05,05/06/2015 11:07:05,0,False,
horse,table,05/06/2015 11:07:05,05/06/2015 11:07:06,0,False,
cat,table,05/06/2015 11:07:06,05/06/2015 11:07:06,0,False,
cat,table,05/06/2015 11:07:06,05/06/2015 11:07:06,0,False,
cat,table,05/06/2015 11:07:06,05/06/2015 11:07:07,0,False,
cat,table,05/06/2015 11:07:07,05/06/2015 11:07:07,0,False,
cat,table,05/06/2015 11:07:07,05/06/2015 11:07:07,0,False,
cat,table,05/06/2015 11:07:07,05/06/2015 11:07:08,0,False,END
butLeft,table,05/06/2015 13:06:17,05/06/2015 13:06:19,1,False,END
butLeft,table,05/06/2015 13:06:20,05/06/2015 13:06:21,1,False,END
butLeft,table,05/06/2015 13:06:22,05/06/2015 13:06:23,0,False,END
butLeft,table,05/06/2015 13:06:23,05/06/2015 13:06:24,0,False,END
butLeft,table,05/06/2015 14:03:52,05/06/2015 14:03:54,2,False,START
cat,table,05/06/2015 14:03:54,05/06/2015 14:03:59,5,True,END
butLeft,table,05/06/2015 14:04:04,05/06/2015 14:04:05,0,False,START
cat,table,05/06/2015 14:04:05,05/06/2015 14:04:10,4,True,END
